date,symbol,direction,entry_price,exit_price,shares,max_loss,type
2026-07-07,HK.03690,long,77.70,78.00,3300,990,stock
2026-07-07,HK.03690,long,78.30,78.25,2500,1000,stock
2026-07-15,HK.07709,long,77.90,79.48,200,880,etf
2026-07-15,HK.07709,long,78.90,77.30,200,680,etf
2026-07-17,HK.02513,short,1328.5,1215,400,9400,stock
2026-07-17,HK.02513,short,1269,1195,300,9300,stock
2026-07-17,HK.02513,short,1160,1147,400,10000,stock
2026-07-17,HK.02513,short,1136,1145,400,3600,stock
2026-07-20,HK.07709,long,51.42,53.52,3000,5760,etf
2026-07-20,HK.07709,long,52.36,52.64,3000,8580,etf
2026-07-21,HK.07709,long,57.10,59.62,7500,4500,etf
2026-07-21,HK.00981,long,73.85,75.30,12500,4375,stock
