date,symbol,direction,entry_price,exit_price,shares,max_loss
2026-07-07,HK.03690,long,77.70,78.00,3300,990
2026-07-07,HK.03690,long,78.30,78.25,2500,1000
2026-07-08,US.SOXL,short,162.84,162.84,39,127.5
2026-07-10,US.SOXL,short,186.8,191,30,126
2026-07-15,HK.07709,long,77.90,79.48,200,880
2026-07-15,HK.07709,long,78.90,77.30,200,680
2026-07-16,US.SOXL,short,146,152,20,100
2026-07-17,HK.02513,short,1328.5,1215,400,9400
2026-07-17,HK.02513,short,1269,1195,300,9300
2026-07-17,HK.02513,short,1160,1147,400,10000
2026-07-17,HK.02513,short,1136,1145,400,3600
2026-07-17,US.MU,long,855,865,106,1272
2026-07-20,HK.07709,long,51.42,53.52,3000,5760
2026-07-20,HK.07709,long,52.36,52.64,3000,8580
2026-07-21,HK.07709,long,57.10,59.62,7500,4500
2026-07-21,HK.00981,long,73.85,75.30,12500,4375
2026-07-22,US.MU,long,971.53,973.0,150,830
2026-07-23,HK.09988,short,114.2,113.3,7500,8250
2026-07-23,HK.00981,short,70.75,70.15,7500,9375
2026-07-24,US.SOXS,long,50.20,50.825,410,697
2026-07-27,HK.00981,short,69.1,70.2,1000,1100
2026-07-27,HK.01810,long,28.08,28.325,2400,1392.0
2026-07-27,HK.03690,long,90.75,91.2,800,1800
2026-07-29,HK.07709,long,35.42,33.80,1500,2430
2026-07-29,HK.00981,short,65.60,65.00,1500,2100
2026-07-29,HK.01810,long,31.60,31.74,1800,1980
2026-07-29,HK.00981,short,65.70,65.75,1500,1200
2026-07-30,HK.00981,short,62.55,62.3,2000,1900
