date,symbol,direction,entry_price,exit_price,shares,max_loss
2026-07-08,US.SOXL,short,162.84,162.84,39,127.5
2026-07-10,US.SOXL,short,186.8,191,30,126
2026-07-16,US.SOXL,short,146,152,20,100
2026-07-17,US.MU,long,855,865,106,1272
2026-07-21,US.MU,short,917,935.5,36,1044
2026-07-22,US.MU,long,971.53,973.0,150,830
2026-07-23,US.MU,long,985.2,993.19,159,1145
2026-07-24,US.SOXS,long,50.20,50.825,410,697
2026-07-28,US.SOXS,long,63.86,60.79,80,286
2026-08-03,US.MU,short,783.19,791.27,30,264
2026-08-03,US.MU,long,821.23,818.6,40,209
2026-08-03,US.NVDA,long,202.19,205.15,86,231
2026-08-04,US.MU,long,893.89,894.295,85,1010.65
2026-08-05,US.NVDA,long,221.98,220.97,307,300.86
2026-08-06,US.MU,long,923.96,917.75,50,298
