date,symbol,direction,entry_price,exit_price,shares,max_loss,type
2026-07-08,US.SOXL,short,162.84,162.84,39,127.5,etf
2026-07-10,US.SOXL,short,186.8,191,30,126,etf
2026-07-16,US.SOXL,short,146,152,20,100,etf
2026-07-17,US.MU,long,855,865,106,1272,stock
2026-07-21,US.MU,short,917,935.5,36,1044,stock
2026-07-22,US.MU,long,971.53,973.0,150,830,stock
2026-07-23,US.MU,long,985.2,993.19,159,1145,stock
2026-07-24,US.SOXS,long,50.20,50.825,410,697,etf
2026-07-28,US.SOXS,long,63.86,60.79,80,286,etf
2026-08-03,US.MU,short,783.19,791.27,30,264,stock
2026-08-03,US.MU,long,821.23,818.6,40,209,stock
2026-08-03,US.NVDA,long,202.19,205.15,86,231,stock
2026-08-04,US.MU,long,893.89,894.295,85,1010.65,stock
2026-08-05,US.NVDA,long,221.98,220.97,307,300.86,stock
2026-08-06,US.MU,long,923.96,917.75,50,298,stock
2026-08-07,US.AAOI,long,142.656,141.43,5976,15873,stock
2026-08-10,US.LITE,short,838.18,837.055,1500,11730,stock
2026-08-10,US.LITE,short,832.51,835.71,1500,11235,stock
2026-08-11,US.MU,short,855.33,863.31,1621,14865,stock
2026-08-11,US.MU,short,854.25,858.25,2394,10175,stock
