date,symbol,direction,entry_price,exit_price,shares,max_loss,type,mode,shadow
2026-07-07,HK.03690,long,77.7,78.0,3300,990,stock,signal,
2026-07-07,HK.03690,long,78.3,78.25,2500,1000,stock,signal,
2026-07-15,HK.07709,long,77.9,79.48,200,880,etf,signal,
2026-07-15,HK.07709,long,78.9,77.3,200,680,etf,signal,
2026-07-17,HK.02513,short,1328.5,1215.0,400,9400,stock,signal,
2026-07-17,HK.02513,short,1269.0,1195.0,300,9300,stock,signal,
2026-07-17,HK.02513,short,1160.0,1147.0,400,10000,stock,signal,
2026-07-17,HK.02513,short,1136.0,1145.0,400,3600,stock,signal,
2026-07-20,HK.07709,long,51.42,53.52,3000,5760,etf,signal,
2026-07-20,HK.07709,long,52.36,52.64,3000,8580,etf,signal,
2026-07-21,HK.07709,long,57.1,59.62,7500,4500,etf,signal,
2026-07-21,HK.00981,long,73.85,75.3,12500,4375,stock,signal,
2026-07-23,HK.09988,short,114.2,113.3,7500,8250,stock,signal,
2026-07-23,HK.00981,short,70.75,70.15,7500,9375,stock,signal,
2026-07-27,HK.00981,short,69.1,70.2,1000,1100,stock,signal,
2026-07-27,HK.01810,long,28.08,28.325,2400,1392.0,stock,signal,
2026-07-27,HK.03690,long,90.75,91.2,800,1800,stock,signal,
2026-07-29,HK.07709,long,35.42,33.8,1500,2430,etf,signal,
2026-07-29,HK.00981,short,65.6,65.0,1500,2100,stock,signal,
2026-07-29,HK.01810,long,31.6,31.74,1800,1980,stock,signal,
2026-07-29,HK.00981,short,65.7,65.75,1500,1200,stock,signal,
2026-07-30,HK.00981,short,62.55,62.3,2000,1900,stock,signal,
2026-08-03,HK.09988,long,125.3,125.2,1300,1820,stock,auto_paper,
2026-08-03,HK.07709,short,35.52,35.54,87000,20010,etf,auto_paper,
2026-08-04,HK.02359,short,181.5,181.2,300,1650,stock,auto_paper,
2026-08-04,HK.09988,short,126.5,126.5,16600,24900,stock,auto_paper,
2026-08-04,HK.06869,long,105.6,104.5,500,1800,stock,auto_paper,
2026-08-05,HK.00981,short,67.25,67.8,1500,2475,stock,auto_paper,
2026-08-05,HK.01888,long,35.86,36.7,15500,7130,stock,auto_paper,
2026-08-05,HK.01888,long,35.36,36.62,3500,1610,stock,auto_paper,
2026-08-05,HK.06869,long,124.0,122.9,2000,2200,stock,auto_paper,
2026-08-05,HK.00981,long,68.15,67.5,36500,23725,stock,auto_paper,
2026-08-06,HK.01888,long,35.56,36.8,312500,112500,stock,auto_paper,
2026-08-06,HK.00100,long,293.6,297.2,10000,56000,stock,auto_paper,
2026-08-06,HK.00100,long,294.4,299.4,320,2048,stock,auto_paper,
2026-08-07,HK.00100,long,321.0,330.0,360,1440,stock,auto_paper,
2026-08-07,HK.02476,long,245.4,255.2,1600,4160,stock,auto_paper,
2026-08-10,HK.02359,long,200.4,201.6,90500,90500,stock,auto_paper,
2026-08-12,HK.03308,short,1076.0,1090.0,200,2800,stock,auto_paper,
2026-08-13,HK.00100,long,379.6,375.4,16000,73600,stock,auto_paper,
2026-08-13,HK.06166,long,94.2,94.6,1550,1085,stock,auto_paper,
2026-08-17,HK.00100,long,338.4,336.2,8940,26820,stock,auto_paper,
2026-08-18,HK.00700,long,442.2,443.0,300,660,stock,auto_live,
2026-08-18,HK.00700,long,442.4,442.6,300,720,stock,auto_live,
2026-08-19,HK.01810,long,27.5,27.68,5000,1200,stock,auto_live,
2026-08-19,HK.01810,long,27.76,27.94,5000,1000,stock,auto_live,
2026-08-21,HK.07709,long,40.82,40.48,3700,1184,etf,auto_live,
2026-08-21,HK.00100,long,337.2,330.0,360,2592,stock,auto_live,
2026-08-25,HK.07747,long,72.34,72.17,1900,266,etf,auto_live,
2026-08-26,HK.07709,short,39.06,39.32,2400,1104,etf,auto_live,
2026-08-27,HK.01888,long,43.04,44.00,1000,440,stock,auto_live,
2026-08-28,HK.00700,long,455.8,457.0,200,800,stock,auto_live,
2026-08-28,HK.09988,long,113.9,113.4,1100,550,stock,auto_live,
2026-08-28,HK.00700,long,457.8,455.6,200,440,stock,auto_live,
2026-08-28,HK.09988,long,114.2,114.6,1100,770,stock,auto_live,
2026-08-31,HK.02513,short,1076.0,1087.0,100,900,stock,auto_live,
2026-08-28,HK.03308,long,1095.0,1085.0,150,1500,stock,shadow,1
2026-08-31,HK.03690,short,77.6,77.95,400,140,stock,shadow,1
