symbol,t0,src,delta_s,entry,rA,rB,exit_B,volgrp
US.NVDA,2026-08-05 22:15:19,ringlog,0,222.0095,-0.8897,-1.0147,SL,
US.NVDA,2026-08-05 22:15:19,ringlog,10,221.9145,-0.7907,-0.9158,SL,
US.NVDA,2026-08-05 22:15:19,ringlog,30,221.8545,-0.7282,-0.8533,SL,
US.NVDA,2026-08-05 22:15:19,ringlog,60,221.8045,-0.6762,-0.8012,SL,
US.NVDA,2026-08-05 22:15:19,ringlog,120,221.4646,-0.3221,-0.4471,SL,
US.NVDA,2026-08-05 22:15:19,ringlog,180,221.7401,-0.6091,-0.7341,SL,
US.NVDA,2026-08-05 22:15:19,ringlog,300,221.3646,-0.2179,-0.3429,SL,
US.NVDA,2026-08-05 22:15:19,ringlog,600,221.7915,-0.6626,-0.7877,SL,
HK.00100,2026-08-06 13:15:48,ringlog,0,293.753,0.8825,0.8825,EOD,
HK.00100,2026-08-06 13:15:48,ringlog,10,294.3529,0.7825,0.7825,EOD,
HK.00100,2026-08-06 13:15:48,ringlog,30,294.1529,0.8158,0.8158,EOD,
HK.00100,2026-08-06 13:15:48,ringlog,60,294.7528,0.7158,0.7158,EOD,
HK.00100,2026-08-06 13:15:48,ringlog,120,296.1526,0.4825,0.4825,EOD,
HK.00100,2026-08-06 13:15:48,ringlog,180,297.1524,0.3159,0.3159,EOD,
HK.00100,2026-08-06 13:15:48,ringlog,300,294.9528,0.6825,0.6825,EOD,
HK.00100,2026-08-06 13:15:48,ringlog,600,297.1524,0.3159,0.3159,EOD,
HK.00100,2026-08-07 09:51:29,ringlog,0,320.3487,5.7335,4.7691,TP,
HK.00100,2026-08-07 09:51:29,ringlog,30,320.7487,5.6621,4.6977,TP,
HK.00100,2026-08-07 09:51:29,ringlog,60,324.5481,4.9836,4.0192,TP,
HK.00100,2026-08-07 09:51:29,ringlog,120,325.9478,4.7337,3.7692,TP,
HK.00100,2026-08-07 09:51:29,ringlog,180,328.9474,4.198,3.2336,TP,
HK.00100,2026-08-07 09:51:29,ringlog,300,327.5476,4.448,3.4836,TP,
HK.00100,2026-08-07 09:51:29,ringlog,600,335.5463,3.0197,2.0552,TP,
HK.03308,2026-08-28 10:09:42,shadow,0,1089.8256,-0.1652,-0.4652,SL,
HK.03308,2026-08-28 10:09:42,shadow,10,1089.8256,-0.1652,-0.4652,SL,
HK.03308,2026-08-28 10:09:42,shadow,30,1087.8259,0.0348,-0.2652,SL,
HK.03308,2026-08-28 10:09:42,shadow,60,1084.8264,0.3348,0.0347,SL,
HK.03308,2026-08-28 10:09:42,shadow,120,1092.8251,-0.4651,-0.7652,SL,
HK.03308,2026-08-28 10:09:42,shadow,180,1080.827,0.7347,0.4347,SL,
HK.03308,2026-08-28 10:09:42,shadow,300,1084.8264,0.3348,0.0347,SL,
HK.03308,2026-08-28 10:09:42,shadow,600,1080.827,0.7347,0.4347,SL,
HK.03690,2026-08-31 10:56:36,shadow,0,77.4874,-1.2861,-1.2861,SL,
HK.03690,2026-08-31 10:56:36,shadow,30,77.5124,-1.2147,-1.2147,SL,
HK.03690,2026-08-31 10:56:36,shadow,60,77.4874,-1.2861,-1.2861,SL,
HK.03690,2026-08-31 10:56:36,shadow,120,77.4624,-1.3575,-1.3575,SL,
HK.03690,2026-08-31 10:56:36,shadow,180,77.3124,-1.7862,-1.7862,SL,
HK.03690,2026-08-31 10:56:36,shadow,300,77.4124,-1.5004,-1.5004,SL,
HK.03690,2026-08-31 10:56:36,shadow,600,77.3124,-1.7862,-1.7862,SL,
HK.00100,2026-09-03 11:25:10,shadow,0,360.9422,-0.9424,-1.4425,SL,
HK.00100,2026-09-03 11:25:10,shadow,10,361.1422,-1.0424,-1.5425,SL,
HK.00100,2026-09-03 11:25:10,shadow,30,361.5421,-1.2424,-1.7424,SL,
HK.00100,2026-09-03 11:25:10,shadow,60,361.5421,-1.2424,-1.7424,SL,
HK.00100,2026-09-03 11:25:10,shadow,120,363.7418,-2.3422,-2.8423,SL,
HK.00100,2026-09-03 11:25:10,shadow,180,363.5418,-2.2422,-2.7423,SL,
HK.00100,2026-09-03 11:25:10,shadow,300,362.542,-1.7423,-2.2424,SL,
HK.00100,2026-09-03 11:25:10,shadow,600,360.3423,-0.6424,-1.1425,SL,
HK.03690,2026-09-04 10:22:53,shadow,0,80.5871,0.1895,-0.8107,SL,
HK.03690,2026-09-04 10:22:53,shadow,10,80.6121,0.127,-0.8731,SL,
HK.03690,2026-09-04 10:22:53,shadow,30,80.6121,0.127,-0.8731,SL,
HK.03690,2026-09-04 10:22:53,shadow,60,80.6371,0.0645,-0.9356,SL,
HK.03690,2026-09-04 10:22:53,shadow,120,80.6371,0.0645,-0.9356,SL,
HK.03690,2026-09-04 10:22:53,shadow,180,80.6871,-0.0605,-1.0606,SL,
HK.03690,2026-09-04 10:22:53,shadow,300,80.6371,0.0645,-0.9356,SL,
HK.03690,2026-09-04 10:22:53,shadow,600,81.337,-1.6852,-2.6854,SL,
HK.00100,2026-09-04 10:44:32,shadow,0,389.1377,-0.787,-0.9635,SL,
HK.00100,2026-09-04 10:44:32,shadow,10,389.1377,-0.787,-0.9635,SL,
HK.00100,2026-09-04 10:44:32,shadow,30,387.9379,-0.4341,-0.6106,SL,
HK.00100,2026-09-04 10:44:32,shadow,60,387.738,-0.3753,-0.5518,SL,
HK.00100,2026-09-04 10:44:32,shadow,120,390.3375,-1.1399,-1.3164,SL,
HK.00100,2026-09-04 10:44:32,shadow,180,391.1374,-1.3752,-1.5517,SL,
HK.00100,2026-09-04 10:44:32,shadow,300,390.5375,-1.1987,-1.3752,SL,
HK.00100,2026-09-04 10:44:32,shadow,600,388.0579,-0.4694,-0.6459,SL,
HK.06869,2026-09-04 11:07:19,shadow,0,160.6257,1.5512,-2.3482,SL,
HK.06869,2026-09-04 11:07:19,shadow,30,160.6257,1.5512,-2.3482,SL,
HK.06869,2026-09-04 11:07:19,shadow,60,161.0258,1.9512,-1.9482,SL,
HK.06869,2026-09-04 11:07:19,shadow,120,161.2258,2.1512,-1.7481,SL,
HK.06869,2026-09-04 11:07:19,shadow,180,160.9257,1.8512,-2.0482,SL,
HK.06869,2026-09-04 11:07:19,shadow,300,160.5257,1.4511,-2.4482,SL,
HK.06869,2026-09-04 11:07:19,shadow,600,161.0258,1.9512,-1.9482,SL,
HK.00100,2026-09-07 10:02:18,shadow,0,386.1382,-0.8871,-0.637,SL,
HK.00100,2026-09-07 10:02:18,shadow,10,386.1382,-0.8871,-0.637,SL,
HK.00100,2026-09-07 10:02:18,shadow,30,385.7383,-0.8246,-0.5746,SL,
HK.00100,2026-09-07 10:02:18,shadow,60,385.1384,-0.7309,-0.4808,SL,
HK.00100,2026-09-07 10:02:18,shadow,120,384.5385,-0.6371,-0.3871,SL,
