src,symbol,date,dir,t0,ref,sl,tp,exit_t
ringlog,HK.07709,2026-07-20,1,2026-07-20 10:21:21,51.7,49.5,56.0,2026-07-20 10:43:23
ringlog,HK.07709,2026-07-20,1,2026-07-20 11:09:49,52.0,49.5,56.0,2026-07-20 11:47:21
ringlog,HK.07709,2026-07-21,1,2026-07-21 11:27:27,57.5,56.5,,2026-07-21 11:50:32
ringlog,HK.00981,2026-07-21,1,2026-07-21 13:25:34,74.1,73.5,,2026-07-21 13:58:49
ringlog,HK.00981,2026-07-21,1,2026-07-21 14:47:10,76.6,76.1,,
ringlog,US.MU,2026-07-21,-1,2026-07-21 22:15:36,921.7,946.0,865.0,2026-07-21 22:45:33
ringlog,US.MU,2026-07-22,1,2026-07-22 23:13:04,972.0,966.0,982.0,
ringlog,HK.09988,2026-07-23,-1,2026-07-23 10:03:22,114.3,115.3,,2026-07-23 10:19:48
ringlog,HK.00981,2026-07-23,-1,2026-07-23 10:43:09,71.05,72.0,,2026-07-23 11:19:48
ringlog,US.MU,2026-07-23,1,2026-07-23 22:02:43,984.0,978.0,996.0,2026-07-23 22:13:13
ringlog,US.SOXS,2026-07-24,1,2026-07-24 21:54:25,49.38,47.5,52.0,
ringlog,US.SOXS,2026-07-24,1,2026-07-24 22:21:00,50.78,48.5,54.0,2026-07-28 23:47:47
ringlog,HK.00981,2026-07-27,-1,2026-07-27 09:45:24,69.0,70.2,,
ringlog,HK.01810,2026-07-27,1,2026-07-27 10:15:56,28.08,27.5,,2026-07-27 10:34:12
ringlog,HK.03690,2026-07-27,1,2026-07-27 10:52:52,90.3,88.5,,2026-07-27 11:01:54
ringlog,US.MU,2026-07-27,-1,2026-07-27 22:11:35,893.0,902.0,873.0,
ringlog,HK.00981,2026-07-28,-1,2026-07-28 15:34:33,68.65,69.5,,
ringlog,HK.07709,2026-07-29,1,2026-07-29 09:37:02,35.15,33.8,37.5,2026-07-29 09:43:14
ringlog,HK.00981,2026-07-29,-1,2026-07-29 10:05:51,65.75,67.0,63.0,
ringlog,HK.01810,2026-07-29,1,2026-07-29 10:50:25,31.54,30.5,33.0,
ringlog,HK.00981,2026-07-29,-1,2026-07-29 13:13:46,65.35,66.5,61.0,2026-08-05 10:44:44
ringlog,US.NVDA,2026-08-03,1,2026-08-03 22:04:02,86.0,199.5,,2026-08-03 22:28:26
ringlog,US.NVDA,2026-08-05,1,2026-08-05 22:15:19,221.96,221.0,226.0,2026-08-05 22:22:38
ringlog,US.MU,2026-08-06,1,2026-08-06 00:39:07,923.6,918.0,935.0,2026-08-06 01:10:45
ringlog,HK.00100,2026-08-06,1,2026-08-06 13:15:48,294.0,288.0,311.6,
ringlog,HK.00100,2026-08-07,1,2026-08-07 09:51:29,322.6,317.0,347.0,
ringlog,HK.02476,2026-08-07,1,2026-08-07 11:21:45,245.6,243.0,255.0,2026-08-07 11:28:58
ringlog,HK.03308,2026-08-12,-1,2026-08-12 13:45:43,1077.0,1090.0,1029.0,
shadow,HK.03308,2026-08-28,1,2026-08-28 10:09:42,1095.0,1085.0,1125.0,2026-08-28 10:11:04
shadow,HK.03690,2026-08-31,-1,2026-08-31 10:56:36,77.6,77.95,75.6,2026-08-31 11:15:02
shadow,HK.00100,2026-09-03,1,2026-09-03 11:25:10,360.0,358.0,368.0,2026-09-03 11:45:14
shadow,HK.03690,2026-09-04,1,2026-09-04 10:22:53,80.65,80.25,81.9,2026-09-04 10:24:06
shadow,HK.00100,2026-09-04,1,2026-09-04 10:44:32,389.2,385.8,410.0,2026-09-04 10:55:30
