symbol,ts,fill_px,log_last,rel_bp
HK.00100,2026-09-02 11:36:53,344.2,344.2,0.0
HK.00100,2026-09-02 13:45:44,342.0,341.7,8.779631255487603
HK.00100,2026-09-03 10:12:57,356.0,357.0,-28.011204481792717
HK.03690,2026-09-04 11:04:23,81.5,81.5,0.0
HK.01888,2026-09-07 09:55:48,46.72,46.74,-4.278990158323304
HK.00100,2026-09-07 11:34:43,373.2,373.4,-5.356186395286252
HK.00992,2026-09-09 11:16:52,32.02,32.01,3.1240237425820423
HK.07709,2026-09-10 11:02:59,44.56,44.5,13.483146067416241
HK.07709,2026-09-11 10:20:11,41.42,41.42,0.0
US.QQQ,2026-09-11 23:35:49,716.96,717.26,-4.182583721383522
