timestamp,type,symbol,note
2026-08-21 09:49:19,open,HK.07709,"auto成交3700股@40.82"
2026-08-21 10:24:25,open,HK.00100,"auto成交360股@337.2"
2026-08-24 10:34:46,open,HK.07709,"auto成交3200股@39.22"
2026-08-25 13:49:36,open,HK.07747,"auto成交1900股@72.34"
2026-08-26 11:35:31,open,HK.07709,"auto成交2400股@39.06"
2026-08-27 13:42:17,open,HK.01888,"auto成交1000股@43.04"
2026-08-28 09:55:43,open,HK.00700,"auto成交200股@455.8"
2026-08-28 10:13:33,open,HK.09988,"auto成交1100股@113.9"
2026-08-28 11:03:52,open,HK.00700,"auto成交200股@457.8"
2026-08-28 11:22:20,open,HK.09988,"auto成交1100股@114.2"
2026-08-28 22:58:01,open,US.CRM,"auto成交4612股@260.415"
2026-08-29 00:50:20,open,US.PLTR,"auto成交4793股@186.255"
2026-08-31 10:55:55,open,HK.02513,"auto成交100股@1076.0"
2026-09-01 11:50:45,open,HK.02513,"auto成交4700股@1222.0"
2026-09-02 11:36:53,open,HK.00100,"auto成交160股@344.2"
2026-09-02 13:45:44,open,HK.00100,"auto成交380股@342.0"
2026-09-03 10:12:57,open,HK.00100,"auto成交16840股@356.0"
2026-09-03 10:31:03,open,HK.03750,"auto成交27000股@574.0"
2026-09-04 10:21:49,open,HK.03690,"auto成交1500股@80.6"
2026-09-04 10:43:36,open,HK.02513,"auto成交200股@1126.0"
2026-09-04 11:04:23,open,HK.03690,"auto成交1500股@81.5"
2026-09-04 11:30:10,open,HK.07709,"auto成交7700股@35.36"
2026-09-07 09:44:06,open,HK.01888,"auto成交4500股@46.1"
2026-09-07 09:55:48,open,HK.01888,"auto成交3000股@46.72"
2026-09-07 10:38:10,open,HK.07709,"auto成交6900股@39.6"
2026-09-07 11:34:43,open,HK.00100,"auto成交840股@373.2"
2026-09-08 09:46:58,open,HK.07709,"auto成交2500股@44.58"
2026-09-08 10:22:28,open,HK.07747,"auto成交3300股@82.5"
2026-09-09 10:43:09,open,HK.00100,"auto成交900股@344.8"
2026-09-09 11:16:52,open,HK.00992,"auto成交2000股@32.02"
2026-09-09 13:56:37,open,HK.02899,"auto成交2000股@37.84"
