timestamp,type,symbol,note
2026-07-20 10:21:21,open,HK.07709,做多51.7/止损49.5/止盈56/赔率1.95
2026-07-20 10:43:23,close,HK.07709,平多52.28/锁利+2580/动能衰竭
2026-07-20 11:09:49,open,HK.07709,做多52.0/止损49.5/止盈56/赔率1.6/第二笔
2026-07-20 11:47:21,close,HK.07709,平多52.72/锁利+1080/53不过午休前平
2026-07-21 11:27:27,open,HK.07709,做多57.5/止损56.5
2026-07-21 11:43:13,ts,HK.07709,移损58.0/锁利6750
2026-07-21 11:50:32,close,HK.07709,平多58.8/锁利12600
2026-07-21 13:25:34,open,HK.00981,入场74.1/止损73.5
2026-07-21 13:34:02,ts,HK.00981,移损74.0
2026-07-21 13:40:23,ts,HK.00981,移损74.5
2026-07-21 13:53:10,ts,HK.00981,移损75.0
2026-07-21 13:58:49,close,HK.00981,平多75.5
2026-07-21 14:47:10,open,HK.00981,入场76.6/止损76.1
2026-07-21 22:15:36,open,US.MU,做空921.7/止损946/止盈865
2026-07-21 22:37:23,close,US.MU,减半降风险/减仓935.7/剩18股止损946
2026-07-21 22:45:33,close,US.MU,平空锁亏279/总亏585/资金逆转离场
2026-07-22 23:13:04,open,US.MU,做多972/止损966/止盈982
2026-07-22 23:19:29,ts,US.MU,移损973/锁利220
2026-07-23 10:03:22,open,HK.09988,做空114.3/止损115.3
2026-07-23 10:19:48,close,HK.09988,平空114.0锁利1500
2026-07-23 10:43:09,open,HK.00981,做空71.05/止损72
2026-07-23 11:11:41,ts,HK.00981,移损70.5锁利4875
2026-07-23 11:19:48,close,HK.00981,平空70.25锁利3750
2026-07-23 22:02:43,open,US.MU,做多984/止损978/止盈996/赔率2.0
2026-07-23 22:10:19,ts,US.MU,移损988/锁利445
2026-07-23 22:13:13,close,US.MU,平多994/盈1399/落地1.22R
2026-07-24 21:54:25,open,US.SOXS,入场49.38/止损47.50/止盈52
2026-07-24 22:21:00,open,US.SOXS,入场50.78/止损48.50/止盈54
2026-07-24 22:38:21,ts,US.SOXS,移损49.80/锁亏减至164
2026-07-24 22:46:39,ts,US.SOXS,移损50.50/锁微利123
2026-07-24 22:51:19,close,US.SOXS,平多50.66/锁利189
2026-07-27 09:45:24,open,HK.00981,空69.0/止损70.2
2026-07-27 10:15:56,open,HK.01810,多28.08/止损27.5
2026-07-27 10:30:31,close,HK.01810,减半28.38
2026-07-27 10:34:12,close,HK.01810,平剩余28.32
2026-07-27 10:52:52,open,HK.03690,多90.3/止损88.5
2026-07-27 11:01:54,close,HK.03690,平91.2
2026-07-27 22:11:35,open,US.MU,做空893/止损902/止盈873
2026-07-28 15:34:33,open,HK.00981,做空68.65/止损69.5
